,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
11706,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,11.0,2019,89.0
11707,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,9.8,2020,90.2
11708,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,8.5,2021,91.5
11709,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,8.3,2022,91.7
11710,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,9.2,2023,90.8
11711,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,18-34 years,10.7,2024,89.3
11712,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,13.3,2019,86.7
11713,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,10.8,2020,89.2
11714,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,8.7,2021,91.3
11715,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,8.8,2022,91.2
11716,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,9.9,2023,90.1
11717,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,35-49 years,9.4,2024,90.6
11718,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,10.1,2019,89.9
11719,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,9.5,2020,90.5
11720,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,7.6,2021,92.4
11721,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,7.0,2022,93.0
11722,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,8.6,2023,91.4
11723,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,50-64 years,8.5,2024,91.5
11724,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,5.3,2019,94.7
11725,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,4.3,2020,95.7
11726,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,3.7,2021,96.3
11727,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,4.0,2022,96.0
11728,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,4.5,2023,95.5
11729,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 65 years and older,65 years and older,3.9,2024,96.1
11730,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,11.7,2019,88.3
11731,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,10.2,2020,89.8
11732,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,8.5,2021,91.5
11733,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,8.2,2022,91.8
11734,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,9.7,2023,90.3
11735,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,18-44 years,10.0,2024,90.0
11736,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,11.0,2019,89.0
11737,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,9.7,2020,90.3
11738,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,7.9,2021,92.1
11739,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,7.7,2022,92.3
11740,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,8.7,2023,91.3
11741,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,45-64 years,8.9,2024,91.1
11742,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,6.4,2019,93.6
11743,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,5.5,2020,94.5
11744,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,4.7,2021,95.3
11745,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,4.7,2022,95.3
11746,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,5.5,2023,94.5
11747,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,65-74 years,5.0,2024,95.0
11748,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,3.7,2019,96.3
11749,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2.7,2020,97.3
11750,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2.3,2021,97.7
11751,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,3.0,2022,97.0
11752,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,3.1,2023,96.9
11753,Did not take medication as prescribed to save money,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2.5,2024,97.5
11754,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,16.3,2019,83.7
11755,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,14.7,2020,85.3
11756,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,13.0,2021,87.0
11757,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,12.7,2022,87.3
11758,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,13.9,2023,86.1
11759,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,With disability,13.5,2024,86.5
11760,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,8.7,2019,91.3
11761,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,7.4,2020,92.6
11762,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,5.9,2021,94.1
11763,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,6.0,2022,94.0
11764,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,6.9,2023,93.1
11765,Did not take medication as prescribed to save money,Demographic Characteristic,Disability status,Without disability,7.0,2024,93.0
11766,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,12.6,2019,87.4
11767,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,11.3,2020,88.7
11768,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,9.5,2021,90.5
11769,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,9.2,2022,90.8
11770,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,10.6,2023,89.4
11771,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,10.6,2024,89.4
11772,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,6.7,2019,93.3
11773,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,5.3,2020,94.7
11774,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,3.8,2021,96.2
11775,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,4.1,2022,95.9
11776,Did not take medication as prescribed to save money,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,4.7,2023,95.3
